corrosive,,immune,,passive,
x,y,x,y,x,y
-1.51358360927033,2.02172453280847,-1.40759636615167,-0.688273748752687,2.23617270454838,2.03347345589605
-1.23129753685618,2.01177202814774,-1.15946968110685,-0.651288323713444,2.38766969583633,1.92929851593311
-1.24702341842253,1.96996919806669,-1.02586467077455,-0.692831221867783,2.30633266376795,1.85082795538991
-0.716827270902497,2.00744560563417,-1.53903527709465,-0.75116572248801,2.02491303110952,1.81900651129477
-0.831565555553951,1.93936076962956,-1.50411775493907,-0.834655857349357,2.19441030832259,1.64697778592873
-0.800243758384609,1.22923252210505,-1.2405901032363,-0.74020237144561,2.07804744912916,1.65721910384136
-1.53182216612827,1.30106615411942,-1.03974936786,-0.823403693055051,2.27942970935279,1.54790906425951
-1.12840781586422,1.05111561338881,-0.657801062543953,-0.838404653359114,2.26543670729788,1.42255833666672
-0.479357794853059,0.958250600370549,-1.31986934088484,-0.917886060283989,2.35013119341968,1.33915484578095
-0.460924289050078,0.869509840589528,-0.970889068274009,-0.943388270427399,2.0028838003203,1.28110915841263
-0.69321678755908,0.869105502036858,-0.340814077913151,-0.92140380569222,2.33516344663959,1.26079981053851
-1.62812694497674,1.14424055833378,-0.623425065235693,-0.895786070248046,2.43655855905293,1.17220345738344
-1.8786363393498,1.22213349237317,-1.04951847610576,-1.15240242083268,2.25566759905212,1.0935596088891
-1.89782797993903,1.34742645731557,-1.4314667814218,-1.13740146052861,2.33982056032659,1.03626483597574
-1.86096096833307,1.16994493775353,-1.71526912340846,-1.05434454554513,2.45932426363451,0.874592953823095
-0.0158775085235989,0.212321062139617,-1.71916810230921,-0.866361776143736,2.25999979783073,0.884689865109772
0.24678370342345,0.348548496799228,-1.67710245216892,-1.29448698824097,2.44457312679335,0.785794431391692
0.626349299411256,0.448425895573794,-1.62364311924088,-1.47193962647782,2.71113331764115,0.734039096649912
1.20361478666087,0.616532536978928,-1.38896791140365,-1.58641364700378,2.99428582981102,0.682312643233324
1.73056178509695,0.810661252380906,-1.41976984471956,-1.70134976873279,3.39271815147966,0.672562307848935
1.62526769378286,1.08724037493737,-1.60033588981197,-1.79565884801058,3.70916361126314,0.615671873488245
1.30741426939634,1.21201347602634,-1.75042491649687,-1.75936657477592,3.86347653175719,0.375731600068739
